136,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,realtimeDownlink,ReflectedPwr,8,mW,icr_8bit_volts|txv2_ref_pwr,Legacy Radio,1,4,3,Ref Power,Reflected Power from the Transmit Antenna
1,realtimeDownlink,ICR3VProt,8,V,icr_8bit_volts,Command Receivers,4,3,3,3V Prot,ICR 3V Protected
2,realtimeDownlink,ICRTemp,8,C,8_bit_temp,Command Receivers,4,4,3,ICR Temp,ICR Temperature
3,realtimeDownlink,gTemp,8,C,8_bit_temp,Experiments,5,10,3,Gyro Temp,Gyro temperature
4,realtimeDownlink,Xspin,8,dps,8_bit_spin,Experiments,5,1,3,X Rotation,Angular Velocity around X Axis
5,realtimeDownlink,Yspin,8,dps,8_bit_spin,Experiments,5,2,3,Y Rotation,Angular Veolcity around Y Axis
6,realtimeDownlink,Zspin,8,dps,8_bit_spin,Experiments,5,3,3,Z Rotation,Angular Veolcity around Z Axis
7,realtimeDownlink,Xaccel,8,g,8_bit_accel,Experiments,5,4,3,X Acceleration,Acceleration along X axis
8,realtimeDownlink,Yaccel,8,g,8_bit_accel,Experiments,5,5,3,Y Acceleration,Acceleration along Y  axis
9,realtimeDownlink,Zaccel,8,g,8_bit_accel,Experiments,5,6,3,Z Acceleration,Acceleration along Z axis
10,realtimeDownlink,Xmag,8,uT,8_bit_mag,Experiments,5,7,3,X Magnetometer,Angular Veolcity around X Axis
11,realtimeDownlink,Ymag,8,uT,8_bit_mag,Experiments,5,8,3,Y Magnetometer,Angular Veolcity around Y Axis
12,realtimeDownlink,Zmag,8,uT,8_bit_mag,Experiments,5,9,3,Z Magnetometer,Angular Veolcity around Z Axis
13,realtimeDownlink,DCT1Power,8,mW,1,DCT1,12,1,3,Power Output,DCT1 RF power output
14,realtimeDownlink,DCT2Power,8,mW,1,DCT2,13,1,3,Power Output,DCT2 RF power output
15,realtimeDownlink,DCT1RSSI,8,dBm,dct_rssi,DCT1,12,3,3,RSSI,DCT1 RSSI
16,realtimeDownlink,DCT2RSSI,8,dBm,dct_rssi,DCT2,13,3,3,RSSI,DCT2 RSSI
17,realtimeDownlink,DCT1RlftdPower,8,mW,1,DCT1,12,2,3,Reflected Power,DCT1 reflected power
18,realtimeDownlink,deorbitTemp,8,-,8_bit_temp,Experiments,5,11,3,Minus Z Temp,Deorbit Device Temp
19,realtimeDownlink,busV,8,V,golf-t_bus_voltage,Legacy IHU,2,6,3,Bus Voltage,Vbatt Bus voltage
20,realtimeDownlink,TxPAi,8,mA,golf-t_tx_current,Legacy Radio,1,1,3,PA Current,Transmit power amplifier current
21,realtimeDownlink,TxTemp,8,C,8_bit_temp,Legacy Radio,1,2,3,TX Temperature,Transmitter card temperature
22,realtimeDownlink,FwdPower,8,mW,icr_8bit_volts|txv2_fwd_pwr|dBm_to_mW,Legacy Radio,1,3,3,Fwd Power,Receiver card temperature
23,realtimeDownlink,rssi,8,dBm,icr_8bit_volts|icrv2_rssi,Command Receivers,4,1,3,ICR RSSI,Received Signal Strength Indication
24,realtimeDownlink,MinusYVolts,8,V,52,Solar Panels,6,1,3,Minus Y Volts,Left (-Y) deployable panel Voltage
25,realtimeDownlink,MinusXVolts,8,V,52,Solar Panels,6,2,3,Minus X Volts,Anti-sun Fixed Panel Voltage
26,realtimeDownlink,XVolts,8,V,52,Solar Panels,6,3,3,Plus X Volts,Sun-side Fixed Panel Voltage
27,realtimeDownlink,YVolts,8,V,52,Solar Panels,6,4,3,cd ,Right (+Y) Deployable Panel Voltage
28,realtimeDownlink,MinusYTemp,8,C,52,Solar Panels,6,5,3,+Y Centr Temp,Left (-Y) deployable panel Voltage
29,realtimeDownlink,MinusXTemp,8,C,52,Solar Panels,6,6,3,+Y Right Temp,Anti-sun Fixed Panel Voltage
30,realtimeDownlink,XTemp,8,C,52,Solar Panels,6,7,3,+Y Left Temp,Sun-side Fixed Panel Voltage
31,realtimeDownlink,YTemp,8,C,52,Solar Panels,6,8,3,-Y Fixed Temp,Right (+Y) Deployable Panel Voltage
32,realtimeDownlink,LtVGACtl,8,V,icr_8bit_volts,Legacy Radio,1,5,3,VGA Control,Control Voltage to the Variable Gain Amplifier (VGA)
33,realtimeDownlink,RT1Temp,8,C,8_bit_temp,RT-IHU,11,1,3,Proc1 Temp,Processor 1 board temperature
34,realtimeDownlink,RT2Temp,8,C,8_bit_temp,RT-IHU,11,2,3,Proc2 Temp,Processor 2 board temperature
35,realtimeDownlink,IHUcpuTemp,8,C,8_bit_temp,Legacy IHU,2,1,3,Temperature,Internal Temperature of IHU
36,realtimeDownlink,moduTemp,8,C,8_bit_temp,Legacy Radio,1,7,3,Modulator Temp,Internal Temperature of  the telemetry modulator
37,realtimeDownlink,CSS1,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #1,Coarse Sun Sensor Values
38,realtimeDownlink,CSS2,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #2,Coarse Sun Sensor Values
39,realtimeDownlink,CSS3,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #3,Coarse Sun Sensor Values
40,realtimeDownlink,CSS4,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #4,Coarse Sun Sensor Values
41,realtimeDownlink,CSS5,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #5,Coarse Sun Sensor Values
42,realtimeDownlink,CSS6,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #6,Coarse Sun Sensor Values
43,realtimeDownlink,CSS7,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #7,Coarse Sun Sensor Values
44,realtimeDownlink,CSS8,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #8,Coarse Sun Sensor Values
45,realtimeDownlink,CIU3V3_1,8,V,psoc_8bit_volts,CIU,8,1,3,CIU 3.3V #1,3.3V Power for part 1 of CIU
46,realtimeDownlink,CIU3V3_2,8,V,psoc_8bit_volts,CIU,8,2,3,CIU 3.3V #2,3.3V power for part 2 of CIU
47,realtimeDownlink,CIUVsys,8,V,psoc_8bit_volts,CIU,8,3,3,CIU 5.2V Vsys,6V power on CIU aka Vsys
48,realtimeDownlink,CIU12v,8,V,psoc_8bit_volts,CIU,8,4,3,CIU 12V Supply,12V Power From EPS
49,realtimeDownlink,Power10GHz,8,mW,0,SDR Radio,10,1,3,SSPA Power,Power output of the 10GHz SSPA
50,realtimeDownlink,ZynqTemp,8,C,8_bit_temp,SDR Radio,10,2,3,SDR Zynq Temp,SDR Zynq temp
51,realtimeDownlink,SDRTcvrTemp,8,C,8_bit_temp,SDR Radio,10,3,3,SDR Tranceiver Temp,SDR Tranceiver Temp
52,realtimeDownlink,Current10GHz,8,mA,golf-t_tx_current,SDR Radio,10,4,3,10GHz PA Current,Transmit power amplifier current
