142,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,wod,ReflectedPwr,8,mW,icr_8bit_volts|txv2_ref_pwr,Legacy Radio,1,4,3,Ref Power,Reflected Power from the Transmit Antenna
1,wod,ICR3VProt,8,V,icr_8bit_volts,Command Receivers,4,3,3,3V Prot,ICR 3V Protected
2,wod,ICRTemp,8,C,8_bit_temp,Command Receivers,4,4,3,ICR Temp,ICR Temperature
3,wod,gTemp,8,C,8_bit_temp,Experiments,5,10,3,Gyro Temp,Gyro temperature
4,wod,Xspin,8,dps,8_bit_spin,Experiments,5,1,3,X Rotation,Angular Velocity around X Axis
5,wod,Yspin,8,dps,8_bit_spin,Experiments,5,2,3,Y Rotation,Angular Veolcity around Y Axis
6,wod,Zspin,8,dps,8_bit_spin,Experiments,5,3,3,Z Rotation,Angular Veolcity around Z Axis
7,wod,Xaccel,8,g,8_bit_accel,Experiments,5,4,3,X Acceleration,Acceleration along X axis
8,wod,Yaccel,8,g,8_bit_accel,Experiments,5,5,3,Y Acceleration,Acceleration along Y  axis
9,wod,Zaccel,8,g,8_bit_accel,Experiments,5,6,3,Z Acceleration,Acceleration along Z axis
10,wod,Xmag,8,uT,8_bit_mag,Experiments,5,7,3,X Magnetometer,Angular Veolcity around X Axis
11,wod,Ymag,8,uT,8_bit_mag,Experiments,5,8,3,Y Magnetometer,Angular Veolcity around Y Axis
12,wod,Zmag,8,uT,8_bit_mag,Experiments,5,9,3,Z Magnetometer,Angular Veolcity around Z Axis
13,wod,DCT1Power,8,mW,1,DCT1,12,1,3,Power Output,DCT1 RF power output
14,wod,DCT2Power,8,mW,1,DCT2,13,1,3,Power Output,DCT2 RF power output
15,wod,DCT1RSSI,8,dBm,dct_rssi,DCT1,12,3,3,RSSI,DCT1 RSSI
16,wod,DCT2RSSI,8,dBm,dct_rssi,DCT2,13,3,3,RSSI,DCT2 RSSI
17,wod,DCT1RlftdPower,8,mW,1,DCT1,12,2,3,Reflected Power,DCT1 reflected power
18,wod,deorbitTemp,8,-,8_bit_temp,Experiments,5,11,3,Minus Z Temp,Deorbit Device Temp
19,wod,busV,8,V,golf-t_bus_voltage,Legacy IHU,2,6,3,Bus Voltage,Vbatt Bus voltage
20,wod,TxPAi,8,mA,golf-t_tx_current,Legacy Radio,1,1,3,PA Current,Transmit power amplifier current
21,wod,TxTemp,8,C,8_bit_temp,Legacy Radio,1,2,3,TX Temperature,Transmitter card temperature
22,wod,FwdPower,8,mW,icr_8bit_volts|txv2_fwd_pwr|dBm_to_mW,Legacy Radio,1,3,3,Fwd Power,Receiver card temperature
23,wod,rssi,8,dBm,icr_8bit_volts|icrv2_rssi,Command Receivers,4,1,3,ICR RSSI,Received Signal Strength Indication
24,wod,MinusYVolts,8,V,52,Solar Panels,6,1,3,Minus Y Volts,Left (-Y) deployable panel Voltage
25,wod,MinusXVolts,8,V,52,Solar Panels,6,2,3,Minus X Volts,Anti-sun Fixed Panel Voltage
26,wod,XVolts,8,V,52,Solar Panels,6,3,3,Plus X Volts,Sun-side Fixed Panel Voltage
27,wod,YVolts,8,V,52,Solar Panels,6,4,3,cd ,Right (+Y) Deployable Panel Voltage
28,wod,MinusYTemp,8,C,52,Solar Panels,6,5,3,+Y Centr Temp,Left (-Y) deployable panel Voltage
29,wod,MinusXTemp,8,C,52,Solar Panels,6,6,3,+Y Right Temp,Anti-sun Fixed Panel Voltage
30,wod,XTemp,8,C,52,Solar Panels,6,7,3,+Y Left Temp,Sun-side Fixed Panel Voltage
31,wod,YTemp,8,C,52,Solar Panels,6,8,3,-Y Fixed Temp,Right (+Y) Deployable Panel Voltage
32,wod,LtVGACtl,8,V,icr_8bit_volts,Legacy Radio,1,5,3,VGA Control,Control Voltage to the Variable Gain Amplifier (VGA)
33,wod,RT1Temp,8,C,8_bit_temp,RT-IHU,11,1,3,Proc1 Temp,Processor 1 board temperature
34,wod,RT2Temp,8,C,8_bit_temp,RT-IHU,11,2,3,Proc2 Temp,Processor 2 board temperature
35,wod,IHUcpuTemp,8,C,8_bit_temp,Legacy IHU,2,1,3,Temperature,Internal Temperature of IHU
36,wod,moduTemp,8,C,8_bit_temp,Legacy Radio,1,7,3,Modulator Temp,Internal Temperature of  the telemetry modulator
37,wod,CSS1,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #1,Coarse Sun Sensor Values
38,wod,CSS2,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #2,Coarse Sun Sensor Values
39,wod,CSS3,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #3,Coarse Sun Sensor Values
40,wod,CSS4,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #4,Coarse Sun Sensor Values
41,wod,CSS5,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #5,Coarse Sun Sensor Values
42,wod,CSS6,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #6,Coarse Sun Sensor Values
43,wod,CSS7,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #7,Coarse Sun Sensor Values
44,wod,CSS8,8,-,ciu_8bit_volts,Sun Sensors,0,0,0,CSS #8,Coarse Sun Sensor Values
45,wod,CIU3V3_1,8,V,psoc_8bit_volts,CIU,8,1,3,CIU 3.3V #1,3.3V Power for part 1 of CIU
46,wod,CIU3V3_2,8,V,psoc_8bit_volts,CIU,8,2,3,CIU 3.3V #2,3.3V power for part 2 of CIU
47,wod,CIUVsys,8,V,psoc_8bit_volts,CIU,8,3,3,CIU 5.2V Vsys,6V power on CIU aka Vsys
48,wod,CIU12v,8,V,psoc_8bit_volts,CIU,8,4,3,CIU 12V Supply,12V Power From EPS
49,wod,Power10GHz,8,mW,0,SDR Radio,10,1,3,SSPA Power,Power output of the 10GHz SSPA
50,wod,ZynqTemp,8,C,8_bit_temp,SDR Radio,10,2,3,SDR Zynq Temp,SDR Zynq temp
51,wod,SDRTcvrTemp,8,C,8_bit_temp,SDR Radio,10,3,3,SDR Tranceiver Temp,SDR Tranceiver Temp
52,wod,Current10GHz,8,mA,golf-t_tx_current,SDR Radio,10,4,3,10GHz PA Current,Transmit power amplifier current
53,wod,DCT2RlftdPower,8,mW,1,DCT2,13,2,3,Reflected Power,DCT2 reflected power
54,wod,SDRXspin,8,dps,8_bit_spin,SDR Radio,10,5,3,SDR X Rotation,Angular Velocity around X Axis
55,wod,SDRYspin,8,dps,8_bit_spin,SDR Radio,10,6,3,SDR Y Rotation,Angular Veolcity around Y Axis
56,wod,SDRZspin,8,dps,8_bit_spin,SDR Radio,10,7,3,SDR Z Rotation,Angular Veolcity around Z Axis
57,wod,SDRXaccel,8,g,8_bit_accel,SDR Radio,10,8,3,SDR X Acceleration,Acceleration along X axis
58,wod,SDRZaccel,8,g,8_bit_accel,SDR Radio,10,9,3,SDR Z Acceleration,Acceleration along Y  axis
59,wod,SDRXmag,8,uT,8_bit_mag,SDR Radio,10,10,3,SDR X Magnetometer,Angular Veolcity around X Axis
60,wod,SDRYmag,8,uT,8_bit_mag,SDR Radio,10,11,3,SDR Y Magnetometer,Angular Veolcity around Y Axis
61,wod,SDRZmag,8,uT,8_bit_mag,SDR Radio,10,12,3,SDR Z Magnetometer,Angular Veolcity around Y Axis
62,wod,BattTopTmp,8,C,8_bit_temp,Temperatures,7,1,3,Batt Board Top,Pad
63,wod,BatBtmTmp,8,C,8_bit_temp,Temperatures,7,2,3,Bat Board Btm,Pad
64,wod,PlusZTmp,8,C,8_bit_temp,Temperatures,7,3,3,+Z End Temp,Pad
65,wod,TmpBat1,8,C,8_bit_temp,Temperatures,7,4,3,Tmp Bat Str 1,Pad
66,wod,TmpBat2,8,C,8_bit_temp,Temperatures,7,5,3,Tmp Bat Str 2,Pad
67,wod,TmpBat3,8,C,8_bit_temp,Temperatures,7,6,3,Tmp Bat Str 3,Pad
68,wod,TmpBat4,8,C,8_bit_temp,Temperatures,7,7,3,Tmp Bat Str 4,Pad
69,wod,TmpBat5,8,C,8_bit_temp,Temperatures,7,8,3,Tmp Bat Str 5,Pad
70,wod,TmpBat6,8,C,8_bit_temp,Temperatures,7,9,3,Tmp Bat Str 6,Pad
71,wod,TmpBat7,8,C,8_bit_temp,Temperatures,7,10,3,Tmp Bat Str 7,Pad
72,wod,TmpBat8,8,C,8_bit_temp,Temperatures,7,11,3,Tmp Bat Str 8,Pad
73,wod,Tmp12V1,8,C,8_bit_temp,Temperatures,7,12,3,12V 1 Temp,Pad
74,wod,Tmp12V2,8,C,8_bit_temp,Temperatures,7,13,3,12V 2 Temp,Pad
